State,Address,City,Latitude,Longitude
WI, 3165 Old Town Hall Road, Eau Claire  ,44.763922,-91.454709
MN, 310 50th Avenue West, Alexandria  ,45.844622,-95.382122
IA, 3875 SE Delaware Ave, Ankeny  ,41.693455,-93.579632
WI, 2511 Neva Rd, Antigo  ,45.167612,-89.147113
WI, 3035 W. Wisconsin Ave, Appleton  ,44.27222,-88.452728
MN, 14114 Dellwood Drive, Baxter  ,46.356147,-94.243833
WI, 1815 North Spring Street, Beaver Dam  ,43.48114,-88.81937
ND, 1025 64th Avenue NE, Bismarck  ,46.874689,-100.774471
MN, 10250 Lexington Ave NE, Blaine  ,45.155137,-93.166232
MN, 8400 Lakeland Ave N, Brooklyn Park  ,45.107425,-93.388562
MN, 2324 3rd Ave NE, Cambridge  ,45.576052,-93.194852
MN, 1935 Levi Griffin Road, Carver  ,44.779594,-93.651462
IA, 400 West Ridgeway Avenue, Cedar Falls  ,42.467397,-92.449335
IA, 4650 Cross Pointe Blvd NE, Cedar Rapids  ,42.030898,-91.704422
WI, 500 S. Main St, Clintonville  ,44.600568,-88.766518
WI, 4630 Dalmore Road, DeForest  ,43.197045,-89.350855
WI, 1516 E. Geneva Street, Delavan  ,42.623975,-88.619676
ND, 3730 36th Street South, Fargo  ,46.824526,-96.834888
MN, 2002 West Lincoln Avenue, Fergus Falls  ,46.287638,-96.106655
WI, 800 S. Military Road, Fond du Lac  ,43.763161,-88.470191
WI, N96 W18200 County Line Road, Germantown  ,43.193284,-88.135129
WI, 2460 Main Street, Green Bay  ,44.467559,-87.961741
WI, 213 N. Taylor Street, Green Bay  ,44.536468,-88.073668
MN, 875 General Sieben Dr, Hastings  ,44.736752,-92.888881
MN, 4165 Loberg Avenue, Hermantown  ,46.811786,-92.183356
WI, 1001 Industrial Street, Hudson  ,44.959626,-92.736163
MN, 17070 Kenrick Avenue, Lakeville  ,44.700674,-93.283823
WI, 1235 S. Rapids Road, Manitowoc  ,44.085179,-87.706319
MN, 1850 Premier Drive, Mankato  ,44.185016,-93.952051
WI, 1101 W. Upham Road, Marshfield  ,44.682319,-90.191175
IA, 3200 4th Street SW, Mason City  ,43.150596,-93.248254
WI, 2003 U.S. Highway 12W, Menomonie  ,44.90624527051877, -91.93926637517326
MN, 320 Chelsea Road, Monticello  ,45.290266,-93.782359
WI, W195 S6460 Racine Avenue, Muskego  ,42.928605,-88.157447
MN, 5635 Hadley Avenue North, Oakdale  ,45.03126376221629, -92.96771017823193
WI, 1555 Pabst Farm Blvd, Oconomowoc  ,43.069959,-88.466604
WI, 177 N. Washburn Street, Oshkosh  ,44.020369,-88.58272
MN, 2121 West Bridge Street, Owatonna  ,44.0826,-93.252349
WI, 3110 Eastern Avenue, Plymouth  ,43.747207,-87.943232
SD, 1001 East Mall Drive, Rapid City  ,44.107088,-103.197858
MN, 4891 Maine Avenue SE, Rochester  ,43.950872,-92.464527
IA, 5858 Sunnybrook Drive, Sioux City  ,42.446561,-96.331386
SD, 3035 W Fleet Street, Sioux Falls  ,43.584847,-96.767624
WI, 5590 Highway 10 E., Stevens Point  ,44.523646,-89.510288
MN, 2630 Division Street, Waite Park  ,45.552161,-94.254924
IA, 1300 SE Kettlestone Blvd, Waukee  ,41.573804,-93.848544
WI, 2016 Farm Drive, Waupaca  ,44.331597,-89.049085
WI, 1811 Badger Avenue, Wausau  ,44.98921,-89.653716
WI, 3815 West Washington Street, West Bend  ,43.424739,-88.237528
MN, 920 E. Highway 61, Winona  ,44.030334,-91.618679
